ad_number,title,type,Service/Office,Office of Primary Responsibility,published_date,effective_date,CFR Part Reference,CFR Subpart/Appendix Reference,CFR Section Reference
2009-22-03,"Airworthiness Directives; Hartzell Propeller Inc. ()HC-()2Y(K,R)- () Series Propellers",AD Final Rules,AIR-700: Compliance & Airworthiness Division,AIR-750: East Certification Branch,10/27/2009,11/12/2009,Part 39,,
2008-06-52,Airworthiness Directives; Thielert Aircraft Engines GmbH (TAE) Model TAE 125-02-99 Engines,AD Final Rules,,,04/15/2008,04/30/2008,Part 39,,
2010-04-06,Airworthiness Directives; Thielert Aircraft Engines GmbH (TAE) Model TAE 125-01 Reciprocating Engines,AD Final Rules,,,02/23/2010,03/30/2010,Part 39,,
98-04-36,Airworthiness Directives; Gulfstream Model G-159 Series Airplanes,AD Final Rules,,,02/18/1998,03/25/1998,Part 39 [63 FR 8082  NO. 32  02/18/98],,
2009-24-10,Airworthiness Directives; Thielert Aircraft Engines GmbH (TAE) Model TAE 125-01 Reciprocating Engines,AD Final Rules,,,11/27/2009,01/04/2010,Part 39,,
2010-14-21,Airworthiness Directives; Thielert Aircraft Engines GmbH Model TAE 125-01 Reciprocating Engines,AD Final Rules,,,07/13/2010,08/17/2010,Part 39,,
98-04-18,Airworthiness Directives; AeroSpace Technologies of Australia Pty Ltd. Models N22B and N24A Airplanes.,AD Final Rules,,,02/17/1998,03/13/1998,Part 39 [63 FR 7660 NO. 31 02/17/98],,
98-04-20,"Airworthiness Directives; Partenavia Costruzioni Aeronauticas, S.p.A. Model P68, AP68TP 300, AP68TP 600 Airplanes",AD Final Rules,,,02/17/1998,03/13/1998,Part 39 [63 FR 7680 NO. 31 02/17/98],,
98-04-19,Airworthiness Directives; Harbin Aircraft Manufacturing Corporation Model Y12 IV Airplanes,AD Final Rules,,,02/17/1998,03/13/1998,Part 39 [63 FR 7689 NO. 31 02/17/98],,
98-04-21,"Airworthiness Directives; Pilatus Britten-Norman Limited Models BN-2A, BN-2B, and BN-2T Airplanes.",AD Final Rules,,,02/17/1998,03/13/1998,Part 39 [63 FR 7676 No. 31 02/17/98],,
98-04-37,"Airworthiness Directives; Sabreliner Model NA-265-40, -60, -70, and -80 Series Airplanes",AD Final Rules,,,02/18/1998,03/25/1998,Part 39 [63 FR 8086  NO. 32  02/18/98],,
